engine,strategy,code,role,universe,selection,rebalance,period,cost_assumption,return_basis,total_return_pct,cagr_pct,mdd_pct,sharpe,calmar,trades,total_turnover_x,cost_total_pct,n_rebalance,filter_events,filter_hit_count,filter_hit_n,filter_spread_pct,filter_spread_n,filter_spread_t_stat,filter_spread_p_value,filter_positive_periods,filter_periods_tested,filter_hit_rate_pct,filter_hit_p_value,note
KQ app,퀀트(모멘텀) OFF,quant,실시간 앱 전략검증 탭,앱 수정주가 패널 + PiT 시총 필터,"top 5, 로보필터 OFF/ON",월간,2014~현재(앱 12y 고정 시작 정책),거래비용 10bps + 슬리피지 5bps,net_after_transaction_costs_and_slippage,1036.62,22.45,-32.45,0.493,0.692,,170.2,25.53,144,,,,,,,,,,,,앱 화면 기본 조건. backtest-ksj와 유니버스/종목수/비용 정의가 다름
KQ app,퀀트(모멘텀) ON,quant_robo_filter,실시간 앱 전략검증 탭,앱 수정주가 패널 + PiT 시총 필터,"top 5, 로보필터 OFF/ON",월간,2014~현재(앱 12y 고정 시작 정책),거래비용 10bps + 슬리피지 5bps,net_after_transaction_costs_and_slippage,1518.3,26.11,-43.52,0.569,0.6,,199.3,29.895,144,86.0,46.0,86.0,1.8,86.0,0.961,0.3391,3.0,4.0,53.5,0.59,앱 화면 기본 조건. backtest-ksj와 유니버스/종목수/비용 정의가 다름
KQ app,퀀트(S2모멘텀) OFF,quant_s2,실시간 앱 전략검증 탭,앱 수정주가 패널 + PiT 시총 필터,"top 5, 로보필터 OFF/ON",월간,2014~현재(앱 12y 고정 시작 정책),거래비용 10bps + 슬리피지 5bps,net_after_transaction_costs_and_slippage,1312.37,26.54,-42.94,0.604,0.618,,86.2,12.93,135,,,,,,,,,,,,앱 화면 기본 조건. backtest-ksj와 유니버스/종목수/비용 정의가 다름
KQ app,퀀트(S2모멘텀) ON,quant_s2_robo_filter,실시간 앱 전략검증 탭,앱 수정주가 패널 + PiT 시총 필터,"top 5, 로보필터 OFF/ON",월간,2014~현재(앱 12y 고정 시작 정책),거래비용 10bps + 슬리피지 5bps,net_after_transaction_costs_and_slippage,635.58,19.57,-65.22,0.391,0.3,,178.37,26.755,134,121.0,51.0,115.0,-0.79,115.0,-0.535,0.5939,2.0,4.0,44.3,0.2631,앱 화면 기본 조건. backtest-ksj와 유니버스/종목수/비용 정의가 다름
KQ app,KOSPI,KOSPI,앱 비교 벤치마크,KOSPI,지수,-,앱 전략검증과 동일,비용 없음,price index,289.59,12.0,-34.62,0.364,0.347,0.0,0.0,0.0,0,,,,,,,,,,,,앱 벤치마크
backtest-ksj,S1 월간 모멘텀20,s1m,별도 검증 엔진,PiT 시총 상위 300 (KOSPI+KOSDAQ),모멘텀20 또는 KODEX200 단일,월간,2019-01-01 ~ 2026-05-31,"왕복 0.5%, 현금 연 2%","net, 가격수익률",95.58,9.47,-55.99,0.368,0.169,1036.0,51.8,12.95,89,,,,,,,,,,,,Fold4/전체 OOS는 2025~2026 합성 가격 영향으로 절대 CAGR 해석 금지
backtest-ksj,S2 월간 모멘텀20 + t1 위험회피,s2m,별도 검증 엔진,PiT 시총 상위 300 (KOSPI+KOSDAQ),모멘텀20 또는 KODEX200 단일,월간,2019-01-01 ~ 2026-05-31,"왕복 0.5%, 현금 연 2%","net, 가격수익률",3.87,0.51,-47.31,0.111,0.011,986.0,61.3,15.325,72,,,,,,,,,,,,Fold4/전체 OOS는 2025~2026 합성 가격 영향으로 절대 CAGR 해석 금지
backtest-ksj,S3 월간 모멘텀20 + t2 추세추종,s3m,별도 검증 엔진,PiT 시총 상위 300 (KOSPI+KOSDAQ),모멘텀20 또는 KODEX200 단일,월간,2019-01-01 ~ 2026-05-31,"왕복 0.5%, 현금 연 2%","net, 가격수익률",88.84,8.95,-36.35,0.357,0.246,702.0,46.1,11.525,50,,,,,,,,,,,,Fold4/전체 OOS는 2025~2026 합성 가격 영향으로 절대 CAGR 해석 금지
backtest-ksj,S1 주간 모멘텀20,s1w,별도 검증 엔진,PiT 시총 상위 300 (KOSPI+KOSDAQ),모멘텀20 또는 KODEX200 단일,주간,2019-01-01 ~ 2026-05-31,"왕복 0.5%, 현금 연 2%","net, 가격수익률",105.52,10.2,-58.57,0.398,0.174,2000.0,100.0,25.0,387,,,,,,,,,,,,Fold4/전체 OOS는 2025~2026 합성 가격 영향으로 절대 CAGR 해석 금지
backtest-ksj,S2 주간 모멘텀20 + t1 위험회피,s2w,별도 검증 엔진,PiT 시총 상위 300 (KOSPI+KOSDAQ),모멘텀20 또는 KODEX200 단일,주간,2019-01-01 ~ 2026-05-31,"왕복 0.5%, 현금 연 2%","net, 가격수익률",39.51,4.59,-53.87,0.231,0.085,1976.0,125.8,31.45,300,,,,,,,,,,,,Fold4/전체 OOS는 2025~2026 합성 가격 영향으로 절대 CAGR 해석 금지
